Drug,%Dead,Date,shP53,shCHK2,shATR,shCHK1,shATX,shDNAPK,shBOK,shBIM
doxorubicin,87,1/31/2015,3.318076636,3.347953275,0.997849905,-0.572877848,-0.952308872,-0.668102342,-0.024551532,1.273496106
doxorubicin,87,10/27/2014,4.685592972,4.154026481,1.819219257,-0.556075699,-2.206636476,-1.472881062,-1.781564092,1.853747828
doxorubicin,87,5/31/2014,4.362862835,4.358431511,1.784439259,-0.929041449,-1.902264435,-1.619471596,-0.956529133,1.933501728
doxorubicin,87,4/12/2013,3.604196316,3.778773008,1.574749529,-0.624611577,-1.802702825,-1.576239146,-1.326197294,1.271530274
doxorubicin,87,2/28/2013,4.418513241,3.841117794,1.291640147,-1.021246701,-1.783478373,-1.738353977,-1.304706608,1.929889552
doxorubicin,87,8/15/2012,4.234465511,3.604482713,1.767245268,-0.741691227,-1.552636116,-1.453837456,-1.223910548,1.404677182
doxorubicin,87,12/17/2011,2.81787534,3.605499718,0.395965127,-0.470110991,-0.863606308,-1.193239967,-1.393323983,0.781482858
doxorubicin,86,11/24/2012,4.179772787,3.758014548,1.379061457,-0.350528367,-1.966052668,-0.915625652,-0.909649694,1.708132088
doxorubicin,86,4/15/2013,3.758014548,3.764554783,1.401959734,-0.514356861,-1.251467049,-1.391527554,-0.615736096,1.21153862
doxorubicin,86,5/22/2014,3.711346283,3.767037171,1.325563524,-1.246243809,-2.289993377,-1.902334905,-1.701874291,1.703077436
doxorubicin,86,5/7/2016,2.659037869,2.408444154,1.171018544,0.019301245,-1.836783055,-0.046072859,-2.161173416,0.669035093
doxorubicin,86,5/21/2014,3.848828671,3.836984042,1.696951937,-0.796257956,-2.321809407,-2.052380624,-1.496503194,1.973574714
doxorubicin,86,6/17/2015,3.733934741,3.729016486,1.711007457,-0.135085762,-1.244243808,-0.374273422,-0.96029415,1.585859356
doxorubicin,86,2/26/2012,3.766128939,4.054821949,1.13876407,-0.678708997,-1.302240038,-1.360307028,-1.43539906,1.793318941
doxorubicin,86,10/26/2013,4.413963666,3.754887502,2.308300131,-0.490986353,-1.887661124,-1.190331212,-1.131244533,1.918590887
doxorubicin,85,12/9/2012,3.436537978,3.630974898,1.211956412,-0.197386048,-1.803623307,-1.251819852,-1.214594051,1.415082361
doxorubicin,85,1/31/2013,3.880906608,4.009101808,1.873194011,-0.234873313,-2.11369787,-1.660079622,-1.021147968,1.543465513
doxorubicin,85,12/18/2014,4.129396752,3.62923073,1.338522944,-0.587502592,-1.232487604,-1.208469536,-1.981536394,1.612553886
doxorubicin,85,5/16/2015,3.522943667,3.161161856,1.520295004,-1.101044335,-2.065312424,-1.620974141,-2.034206992,1.552513966
doxorubicin,85,11/18/2012,4.250773499,3.929603589,1.369760191,-0.639928353,-2.277777653,-1.327447413,-1.352267873,1.657401924
doxorubicin,85,4/27/2012,3.058882528,3.355182187,1.052366978,-0.41599148,-2.025116437,-1.569440675,-1.453137229,1.345952808
doxorubicin,84,4/25/2014,3.406776572,3.572306203,1.25856291,-0.922883409,-1.713531488,-1.97237532,-1.494953182,1.173954898
doxorubicin,84,6/20/2015,3.876510207,4.303121351,1.565253206,-0.301772614,-1.096776968,-1.07366949,-1.004328371,1.08246216
doxorubicin,84,10/24/2014,3.71062852,3.970091361,1.782105928,-1.118527989,-2.19537047,-1.441470907,-1.825922519,1.433139306
doxorubicin,84,3/2/2012,4.099090329,3.775936826,1.499582974,-0.402363147,-1.749770436,-0.998399673,-1.734025664,1.853834903
doxorubicin,83,3/17/2012,3.125219453,3.090079738,1.230203562,-0.484299875,-0.939547483,-1.011514516,-1.222158597,1.554841135
doxorubicin,83,6/24/2013,4.279954171,3.930851588,1.653731733,-0.371968777,-1.658827739,-1.674904626,-1.232173442,1.373458396
